name,rank_custom,rank_bangumi,subjectname
211311,178,243,恶魔人 crybaby
2045,179,206,麻辣教师GTO
80864,180,197,太空丹迪
4042,181,490,祖先大人万万岁
1607,182,288,吸血鬼猎人D
443,183,186,交响情人梦
10639,184,109,Fate/Zero
9912,185,75,日常
47576,186,63,银魂' 延长战
1805,187,364,铳墓
152091,188,185,吹响！悠风号 第二季
66941,189,511,宇宙战舰大和号2199 第五章「望乡的银河间空间」
38437,190,485,机动战士高达 剧场版III 相逢在宇宙
9565,191,120,龙珠
750,192,73,水星领航员 OVA
1671,193,96,化物语
995,194,161,欢迎加入NHK！
45240,195,362,剑风传奇 黄金时代篇II 多尔多雷攻略
3428,196,208,爆漫王。
60901,197,241,苍穹之法芙娜 EXODUS
12317,198,295,赌博默示录 破戒录篇
100444,199,190,四月是你的谎言
70323,200,552,宇宙战舰大和号2199 第七章「战舰继续前进」
51,201,42,CLANNAD
147068,202,107,3月的狮子
37615,203,133,蓝宝石之谜 HD修复版
70322,204,597,宇宙战舰大和号2199 第六章「到达！大麦哲伦」
209925,205,216,寻梦环游记
9005,206,202,龙珠Z
1038,207,279,超智游戏
975,208,27,海贼王
5118,209,319,阿基拉
77480,210,210,银之匙 Silver Spoon 第二季
148037,211,191,伤物语III 冷血篇
10843,212,141,白兔糖
23213,213,358,真盖塔机器人 世界最后之日
56847,214,282,辉夜姬物语
52787,215,502,怪医黑杰克 OVA
47731,216,474,宇宙战舰大和号2199 第三章「无尽的航海」
110148,217,143,怪诞小镇 第二季
6880,218,253,夏娃的时间 剧场版
508,219,628,茄子 安达鲁西亚之夏
81421,220,370,东方灵灵梦
1905,221,163,夏日大作战
8696,222,604,机动警察 EARLY DAYS
1760,223,251,夏娃的时间
129807,224,106,命运石之门 0
3423,225,129,空之境界 第七章 杀人考察（后）
41189,226,289,玛丽和马克思
3892,227,226,赌博默示录
39531,228,507,银河英雄传说 我的征途是星辰大海
979,228,247,黑礁
242,230,164,穿越时空的少女
2979,231,204,勇者王GaoGaiGar Final
18624,232,199,回转企鹅罐
276,233,112,幸运星
120791,234,136,银魂°
133860,235,286,疯狂动物城
59664,236,224,银之匙 Silver Spoon
78405,236,221,悠哉日常大王
26449,238,320,人类衰退之后
8402,239,166,吊带袜天使
1940,240,183,魔卡少女樱
288,241,149,寒蝉鸣泣之时 解
72299,242,130,东方幼灵梦
21032,243,283,猎人
38436,244,617,机动战士高达 剧场版II 哀・战士
12536,245,79,夏目友人帐 参
115908,246,151,吹响！悠风号
4237,247,541,兽爪
27364,248,132,冰菓
3304,249,316,神枪少女
13603,250,196,罗小黑战记
130230,251,287,苍穹之法芙娜 EXODUS 第2期
292,252,203,DARKER THAN BLACK -黑之契约者-
158316,253,342,灵能百分百
440,254,187,校园迷糊大王
513,255,378,听到涛声
2108,256,310,重金属摇滚双面人
3995,256,275,天元突破红莲螺岩 红莲篇
3697,258,592,贤治之春
2981,259,249,勇者王GaoGaiGar Final Grand Glorious Gathering
214799,260,318,宝石之国
4301,261,271,星界的纹章
8803,262,280,幽游白书
6985,263,322,黑礁 Roberta’s Blood Trail
2481,264,259,宇宙骑士BLADE
68035,265,266,有顶天家族
105255,266,285,希德尼娅的骑士 第九惑星战役
767,267,189,空之境界 第三章 痛觉残留
10375,268,621,传说巨神伊迪安
289,269,174,寒蝉鸣泣之时
3478,270,231,交响情人梦Finale
921,271,268,最终流放
500,272,274,侧耳倾听
485,272,123,凉宫春日的忧郁
82233,274,215,向阳素描 沙英・寻 毕业篇
